id,name,code,level,sort_order,capacity,is_active,created_at,updated_at,academic_year_id,class_teacher_id
1,NURSERY 1,NUR1,Nursery,1,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,6
2,NURSERY 2,NUR2,Nursery,2,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,17
3,NURSERY 3,NUR3,Nursery,3,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,9
4,PRIMARY 1A,PRI1A,Primary,4,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,15
5,PRIMARY 2,PRI2,Primary,7,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,11
6,PRIMARY 3,PRI3,Primary,8,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,16
7,PRIMARY 4,PRI4,Primary,9,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,14
8,PRIMARY 5,PRI5,Primary,10,40,true,2026-05-23 15:58:45.732858+00,2026-05-23 15:58:45.732858+00,1,4
9,PRIMARY 6,PRI6,Primary,11,10,true,2026-07-07 01:55:07.592848+00,2026-07-07 01:55:07.592848+00,1,3
10,PRIMARY 1B,PRI1B,Primary,5,40,true,2026-09-17 15:57:21.539197+00,2026-09-17 15:57:21.539197+00,1,8
