id,name,code,level,mg_max,ex_max,appears_only_post_midterm,sort_order,is_active,created_at,updated_at
1,Pre-Calculé,NUR-PC,Nursery,50,50,false,1,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
2,Education Sante et Environnement,NUR-ESE,Nursery,50,50,false,2,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
3,Français Ecriture,NUR-FE,Nursery,50,50,false,3,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
4,Français Lecture,NUR-FL,Nursery,50,50,false,4,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
5,Anglais,NUR-ANG,Nursery,50,50,false,5,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
6,Expression Orale,NUR-EO,Nursery,50,50,true,6,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
7,Art Plastique,NUR-AP,Nursery,50,50,false,7,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
8,Developpement Sociale,NUR-DS,Nursery,50,50,true,8,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
9,Mathematics,PRI-MAT,Primary,50,50,false,1,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
10,English,PRI-ENG,Primary,50,50,false,2,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
11,Kinyarwanda,PRI-KIN,Primary,50,50,false,3,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
12,French,PRI-FRE,Primary,50,50,false,4,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
13,SET,PRI-SET,Primary,40,40,false,5,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
14,SSRE,PRI-SRS,Primary,40,40,false,6,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
15,Reading,PRI-REA,Primary,20,20,true,7,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
16,Creative Arts,PRI-CRE,Primary,20,20,true,8,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
17,Sports,PRI-SPO,Primary,10,10,true,9,true,2026-05-23 17:44:38.971825+00,2026-05-23 17:44:38.971825+00
