id,teacher_id,class_id,subject_id,academic_year_id,created_at
33,5,4,9,1,2026-05-23 17:44:39.06557+00
34,5,5,9,1,2026-05-23 17:44:39.06557+00
35,5,6,9,1,2026-05-23 17:44:39.06557+00
36,5,5,13,1,2026-05-23 17:44:39.06557+00
37,5,5,14,1,2026-05-23 17:44:39.06557+00
38,5,5,15,1,2026-05-23 17:44:39.06557+00
39,5,5,16,1,2026-05-23 17:44:39.06557+00
40,5,5,17,1,2026-05-23 17:44:39.06557+00
82,8,4,10,1,2026-05-23 17:44:39.06557+00
83,8,5,10,1,2026-05-23 17:44:39.06557+00
84,8,6,10,1,2026-05-23 17:44:39.06557+00
85,8,4,13,1,2026-05-23 17:44:39.06557+00
86,8,4,14,1,2026-05-23 17:44:39.06557+00
87,8,4,15,1,2026-05-23 17:44:39.06557+00
88,8,4,16,1,2026-05-23 17:44:39.06557+00
89,8,4,17,1,2026-05-23 17:44:39.06557+00
109,3,7,9,1,2026-05-23 17:44:39.06557+00
110,3,8,9,1,2026-05-23 17:44:39.06557+00
111,3,7,10,1,2026-05-23 17:44:39.06557+00
112,3,8,10,1,2026-05-23 17:44:39.06557+00
113,3,8,15,1,2026-05-23 17:44:39.06557+00
114,3,8,16,1,2026-05-23 17:44:39.06557+00
115,3,8,17,1,2026-05-23 17:44:39.06557+00
133,4,8,11,1,2026-05-23 17:44:39.06557+00
134,4,6,13,1,2026-05-23 17:44:39.06557+00
135,4,7,13,1,2026-05-23 17:44:39.06557+00
136,4,8,13,1,2026-05-23 17:44:39.06557+00
137,4,6,14,1,2026-05-23 17:44:39.06557+00
138,4,7,14,1,2026-05-23 17:44:39.06557+00
139,4,8,14,1,2026-05-23 17:44:39.06557+00
140,4,6,15,1,2026-05-23 17:44:39.06557+00
141,4,6,16,1,2026-05-23 17:44:39.06557+00
142,4,6,17,1,2026-05-23 17:44:39.06557+00
170,11,3,7,1,2026-05-23 17:44:39.06557+00
171,11,3,8,1,2026-05-23 17:44:39.06557+00
172,11,4,11,1,2026-05-23 17:44:39.06557+00
173,11,5,11,1,2026-05-23 17:44:39.06557+00
174,11,6,11,1,2026-05-23 17:44:39.06557+00
175,11,7,11,1,2026-05-23 17:44:39.06557+00
176,11,7,15,1,2026-05-23 17:44:39.06557+00
177,11,7,16,1,2026-05-23 17:44:39.06557+00
178,11,7,17,1,2026-05-23 17:44:39.06557+00
185,9,3,1,1,2026-05-23 17:44:39.06557+00
186,9,3,2,1,2026-05-23 17:44:39.06557+00
187,9,3,5,1,2026-05-23 17:44:39.06557+00
188,9,3,6,1,2026-05-23 17:44:39.06557+00
189,9,3,7,1,2026-05-23 17:44:39.06557+00
190,9,3,8,1,2026-05-23 17:44:39.06557+00
191,6,1,1,1,2026-05-23 17:44:39.06557+00
192,6,1,2,1,2026-05-23 17:44:39.06557+00
193,6,1,3,1,2026-05-23 17:44:39.06557+00
194,6,1,4,1,2026-05-23 17:44:39.06557+00
195,6,1,5,1,2026-05-23 17:44:39.06557+00
196,6,1,6,1,2026-05-23 17:44:39.06557+00
197,6,1,7,1,2026-05-23 17:44:39.06557+00
198,6,1,8,1,2026-05-23 17:44:39.06557+00
199,6,4,12,1,2026-05-23 17:44:39.06557+00
200,6,5,12,1,2026-05-23 17:44:39.06557+00
201,6,6,12,1,2026-05-23 17:44:39.06557+00
202,6,7,12,1,2026-05-23 17:44:39.06557+00
203,6,8,12,1,2026-05-23 17:44:39.06557+00
204,7,2,1,1,2026-05-23 17:44:39.06557+00
205,7,2,2,1,2026-05-23 17:44:39.06557+00
206,7,2,3,1,2026-05-23 17:44:39.06557+00
207,7,3,3,1,2026-05-23 17:44:39.06557+00
208,7,2,4,1,2026-05-23 17:44:39.06557+00
209,7,3,4,1,2026-05-23 17:44:39.06557+00
210,7,2,5,1,2026-05-23 17:44:39.06557+00
211,7,2,6,1,2026-05-23 17:44:39.06557+00
212,7,2,7,1,2026-05-23 17:44:39.06557+00
213,7,2,8,1,2026-05-23 17:44:39.06557+00
447,8,4,10,2,2026-09-20 01:20:20.830549+00
448,8,4,15,2,2026-09-20 01:20:20.830549+00
449,13,4,9,2,2026-09-20 01:20:20.830549+00
450,13,4,13,2,2026-09-20 01:20:20.830549+00
451,15,4,12,2,2026-09-20 01:20:20.830549+00
452,11,4,11,2,2026-09-20 01:20:20.830549+00
453,16,4,14,2,2026-09-20 01:20:20.830549+00
454,16,4,16,2,2026-09-20 01:20:20.830549+00
455,8,10,10,2,2026-09-20 01:20:20.830549+00
456,8,10,15,2,2026-09-20 01:20:20.830549+00
457,13,10,9,2,2026-09-20 01:20:20.830549+00
458,13,10,13,2,2026-09-20 01:20:20.830549+00
459,15,10,12,2,2026-09-20 01:20:20.830549+00
460,11,10,11,2,2026-09-20 01:20:20.830549+00
461,16,10,14,2,2026-09-20 01:20:20.830549+00
462,16,10,16,2,2026-09-20 01:20:20.830549+00
463,8,5,10,2,2026-09-20 01:20:20.830549+00
464,8,5,14,2,2026-09-20 01:20:20.830549+00
465,8,5,15,2,2026-09-20 01:20:20.830549+00
466,13,5,9,2,2026-09-20 01:20:20.830549+00
467,13,5,13,2,2026-09-20 01:20:20.830549+00
468,15,5,12,2,2026-09-20 01:20:20.830549+00
469,11,5,11,2,2026-09-20 01:20:20.830549+00
470,11,5,16,2,2026-09-20 01:20:20.830549+00
471,16,6,10,2,2026-09-20 01:20:20.830549+00
472,16,6,14,2,2026-09-20 01:20:20.830549+00
473,16,6,15,2,2026-09-20 01:20:20.830549+00
474,14,6,9,2,2026-09-20 01:20:20.830549+00
475,11,6,11,2,2026-09-20 01:20:20.830549+00
476,11,6,13,2,2026-09-20 01:20:20.830549+00
477,15,6,12,2,2026-09-20 01:20:20.830549+00
478,11,6,16,2,2026-09-20 01:20:20.830549+00
479,3,7,10,2,2026-09-20 01:20:20.830549+00
480,3,7,15,2,2026-09-20 01:20:20.830549+00
481,14,7,9,2,2026-09-20 01:20:20.830549+00
482,14,7,13,2,2026-09-20 01:20:20.830549+00
483,15,7,12,2,2026-09-20 01:20:20.830549+00
