id,teacher_id,class_id,subject_id,academic_year_id,created_at
33,5,4,9,1,2026-05-23 17:44:39.06557+00
34,5,5,9,1,2026-05-23 17:44:39.06557+00
35,5,6,9,1,2026-05-23 17:44:39.06557+00
36,5,5,13,1,2026-05-23 17:44:39.06557+00
37,5,5,14,1,2026-05-23 17:44:39.06557+00
38,5,5,15,1,2026-05-23 17:44:39.06557+00
39,5,5,16,1,2026-05-23 17:44:39.06557+00
40,5,5,17,1,2026-05-23 17:44:39.06557+00
82,8,4,10,1,2026-05-23 17:44:39.06557+00
83,8,5,10,1,2026-05-23 17:44:39.06557+00
84,8,6,10,1,2026-05-23 17:44:39.06557+00
85,8,4,13,1,2026-05-23 17:44:39.06557+00
86,8,4,14,1,2026-05-23 17:44:39.06557+00
87,8,4,15,1,2026-05-23 17:44:39.06557+00
88,8,4,16,1,2026-05-23 17:44:39.06557+00
89,8,4,17,1,2026-05-23 17:44:39.06557+00
109,3,7,9,1,2026-05-23 17:44:39.06557+00
110,3,8,9,1,2026-05-23 17:44:39.06557+00
111,3,7,10,1,2026-05-23 17:44:39.06557+00
112,3,8,10,1,2026-05-23 17:44:39.06557+00
113,3,8,15,1,2026-05-23 17:44:39.06557+00
114,3,8,16,1,2026-05-23 17:44:39.06557+00
115,3,8,17,1,2026-05-23 17:44:39.06557+00
133,4,8,11,1,2026-05-23 17:44:39.06557+00
134,4,6,13,1,2026-05-23 17:44:39.06557+00
135,4,7,13,1,2026-05-23 17:44:39.06557+00
136,4,8,13,1,2026-05-23 17:44:39.06557+00
137,4,6,14,1,2026-05-23 17:44:39.06557+00
138,4,7,14,1,2026-05-23 17:44:39.06557+00
139,4,8,14,1,2026-05-23 17:44:39.06557+00
140,4,6,15,1,2026-05-23 17:44:39.06557+00
141,4,6,16,1,2026-05-23 17:44:39.06557+00
142,4,6,17,1,2026-05-23 17:44:39.06557+00
170,11,3,7,1,2026-05-23 17:44:39.06557+00
171,11,3,8,1,2026-05-23 17:44:39.06557+00
172,11,4,11,1,2026-05-23 17:44:39.06557+00
173,11,5,11,1,2026-05-23 17:44:39.06557+00
174,11,6,11,1,2026-05-23 17:44:39.06557+00
175,11,7,11,1,2026-05-23 17:44:39.06557+00
176,11,7,15,1,2026-05-23 17:44:39.06557+00
177,11,7,16,1,2026-05-23 17:44:39.06557+00
178,11,7,17,1,2026-05-23 17:44:39.06557+00
185,9,3,1,1,2026-05-23 17:44:39.06557+00
186,9,3,2,1,2026-05-23 17:44:39.06557+00
187,9,3,5,1,2026-05-23 17:44:39.06557+00
188,9,3,6,1,2026-05-23 17:44:39.06557+00
189,9,3,7,1,2026-05-23 17:44:39.06557+00
190,9,3,8,1,2026-05-23 17:44:39.06557+00
191,6,1,1,1,2026-05-23 17:44:39.06557+00
192,6,1,2,1,2026-05-23 17:44:39.06557+00
193,6,1,3,1,2026-05-23 17:44:39.06557+00
194,6,1,4,1,2026-05-23 17:44:39.06557+00
195,6,1,5,1,2026-05-23 17:44:39.06557+00
196,6,1,6,1,2026-05-23 17:44:39.06557+00
197,6,1,7,1,2026-05-23 17:44:39.06557+00
198,6,1,8,1,2026-05-23 17:44:39.06557+00
199,6,4,12,1,2026-05-23 17:44:39.06557+00
200,6,5,12,1,2026-05-23 17:44:39.06557+00
201,6,6,12,1,2026-05-23 17:44:39.06557+00
202,6,7,12,1,2026-05-23 17:44:39.06557+00
203,6,8,12,1,2026-05-23 17:44:39.06557+00
204,7,2,1,1,2026-05-23 17:44:39.06557+00
205,7,2,2,1,2026-05-23 17:44:39.06557+00
206,7,2,3,1,2026-05-23 17:44:39.06557+00
207,7,3,3,1,2026-05-23 17:44:39.06557+00
208,7,2,4,1,2026-05-23 17:44:39.06557+00
209,7,3,4,1,2026-05-23 17:44:39.06557+00
210,7,2,5,1,2026-05-23 17:44:39.06557+00
211,7,2,6,1,2026-05-23 17:44:39.06557+00
212,7,2,7,1,2026-05-23 17:44:39.06557+00
213,7,2,8,1,2026-05-23 17:44:39.06557+00
214,6,1,1,2,2026-09-16 22:15:16.249+00
215,6,1,2,2,2026-09-16 22:15:16.763+00
216,6,1,3,2,2026-09-16 22:15:17.106+00
217,6,1,4,2,2026-09-16 22:15:17.418+00
218,6,1,5,2,2026-09-16 22:15:17.734+00
219,6,1,6,2,2026-09-16 22:15:18.055+00
220,6,1,7,2,2026-09-16 22:15:18.37+00
221,6,1,8,2,2026-09-16 22:15:18.691+00
222,9,3,1,2,2026-09-16 22:15:40+00
223,9,3,2,2,2026-09-16 22:15:40.323+00
224,9,3,3,2,2026-09-16 22:15:40.649+00
225,9,3,4,2,2026-09-16 22:15:40.961+00
226,9,3,5,2,2026-09-16 22:15:41.385+00
227,9,3,6,2,2026-09-16 22:15:41.71+00
228,9,3,7,2,2026-09-16 22:15:42.023+00
229,9,3,8,2,2026-09-16 22:15:42.353+00
342,4,7,11,2,2026-09-19 20:14:08.104+00
343,4,8,11,2,2026-09-19 20:14:08.363+00
344,4,8,14,2,2026-09-19 20:14:08.606+00
345,4,8,16,2,2026-09-19 20:14:08.839+00
346,4,8,17,2,2026-09-19 20:14:09.081+00
347,4,9,11,2,2026-09-19 20:14:09.319+00
348,4,9,14,2,2026-09-19 20:14:09.554+00
349,17,2,1,2,2026-09-19 20:14:44.868+00
350,17,2,2,2,2026-09-19 20:14:45.113+00
351,17,2,3,2,2026-09-19 20:14:45.352+00
352,17,2,4,2,2026-09-19 20:14:45.602+00
353,17,2,5,2,2026-09-19 20:14:45.838+00
354,17,2,6,2,2026-09-19 20:14:46.074+00
355,17,2,7,2,2026-09-19 20:14:46.304+00
356,17,2,8,2,2026-09-19 20:14:46.547+00
357,17,8,12,2,2026-09-19 20:14:46.775+00
358,17,9,12,2,2026-09-19 20:14:47.018+00
366,15,4,12,2,2026-09-19 20:23:41.268+00
367,15,4,16,2,2026-09-19 20:23:41.776+00
368,15,4,17,2,2026-09-19 20:23:42.185+00
369,15,10,12,2,2026-09-19 20:23:42.595+00
370,15,5,12,2,2026-09-19 20:23:43.003+00
