id,day,time_slot,class_id,subject_id,teacher_id,room,notes,created_at,academic_year_id
31,Monday,08:20-09:00,4,10,8,,,2026-05-23 21:57:01.334824,1
32,Monday,08:20-09:00,5,9,5,,,2026-05-23 21:57:01.334824,1
33,Monday,08:20-09:00,6,13,4,,,2026-05-23 21:57:01.334824,1
34,Monday,08:20-09:00,7,11,11,,,2026-05-23 21:57:01.334824,1
36,Monday,09:00-09:40,4,10,8,,,2026-05-23 21:57:01.334824,1
37,Monday,09:00-09:40,5,9,5,,,2026-05-23 21:57:01.334824,1
38,Monday,09:00-09:40,6,13,4,,,2026-05-23 21:57:01.334824,1
39,Monday,09:00-09:40,7,11,11,,,2026-05-23 21:57:01.334824,1
41,Monday,09:40-10:20,4,11,11,,,2026-05-23 21:57:01.334824,1
42,Monday,09:40-10:20,5,10,8,,,2026-05-23 21:57:01.334824,1
43,Monday,09:40-10:20,6,9,5,,,2026-05-23 21:57:01.334824,1
44,Monday,09:40-10:20,7,13,4,,,2026-05-23 21:57:01.334824,1
46,Monday,10:40-11:20,4,11,11,,,2026-05-23 21:57:01.334824,1
47,Monday,10:40-11:20,5,10,8,,,2026-05-23 21:57:01.334824,1
48,Monday,10:40-11:20,6,9,5,,,2026-05-23 21:57:01.334824,1
49,Monday,10:40-11:20,7,9,3,,,2026-05-23 21:57:01.334824,1
51,Monday,11:20-12:00,4,9,5,,,2026-05-23 21:57:01.334824,1
52,Monday,11:20-12:00,5,11,11,,,2026-05-23 21:57:01.334824,1
53,Monday,11:20-12:00,6,10,8,,,2026-05-23 21:57:01.334824,1
54,Monday,11:20-12:00,7,9,3,,,2026-05-23 21:57:01.334824,1
56,Monday,13:00-13:40,4,12,6,,,2026-05-23 21:57:01.334824,1
57,Monday,13:00-13:40,5,11,11,,,2026-05-23 21:57:01.334824,1
58,Monday,13:00-13:40,6,10,8,,,2026-05-23 21:57:01.334824,1
59,Monday,13:00-13:40,7,10,3,,,2026-05-23 21:57:01.334824,1
61,Monday,13:40-14:20,4,12,6,,,2026-05-23 21:57:01.334824,1
62,Monday,13:40-14:20,5,10,8,,,2026-05-23 21:57:01.334824,1
63,Monday,13:40-14:20,6,9,5,,,2026-05-23 21:57:01.334824,1
64,Monday,13:40-14:20,7,11,11,,,2026-05-23 21:57:01.334824,1
66,Monday,14:20-15:00,4,13,8,,,2026-05-23 21:57:01.334824,1
67,Monday,14:20-15:00,5,12,6,,,2026-05-23 21:57:01.334824,1
68,Monday,14:20-15:00,6,11,11,,,2026-05-23 21:57:01.334824,1
69,Monday,14:20-15:00,7,9,3,,,2026-05-23 21:57:01.334824,1
71,Monday,15:20-16:00,4,9,5,,,2026-05-23 21:57:01.334824,1
72,Monday,15:20-16:00,5,12,6,,,2026-05-23 21:57:01.334824,1
73,Monday,15:20-16:00,6,10,8,,,2026-05-23 21:57:01.334824,1
74,Monday,15:20-16:00,7,14,4,,,2026-05-23 21:57:01.334824,1
76,Monday,16:00-16:40,4,11,11,,,2026-05-23 21:57:01.334824,1
77,Monday,16:00-16:40,5,13,5,,,2026-05-23 21:57:01.334824,1
78,Monday,16:00-16:40,6,10,8,,,2026-05-23 21:57:01.334824,1
79,Monday,16:00-16:40,7,12,6,,,2026-05-23 21:57:01.334824,1
81,Tuesday,08:20-09:00,4,9,5,,,2026-05-23 21:57:01.334824,1
82,Tuesday,08:20-09:00,5,10,8,,,2026-05-23 21:57:01.334824,1
83,Tuesday,08:20-09:00,6,11,11,,,2026-05-23 21:57:01.334824,1
84,Tuesday,08:20-09:00,7,9,3,,,2026-05-23 21:57:01.334824,1
86,Tuesday,09:00-09:40,4,9,5,,,2026-05-23 21:57:01.334824,1
87,Tuesday,09:00-09:40,5,10,8,,,2026-05-23 21:57:01.334824,1
88,Tuesday,09:00-09:40,6,11,11,,,2026-05-23 21:57:01.334824,1
89,Tuesday,09:00-09:40,7,9,3,,,2026-05-23 21:57:01.334824,1
